414,mckv coders,"MCKV Institute of Engineering, Liluah",1
415,SAP,Indira Gandhi Institute of Technology,1
416,BHU_REX,"Indian Institute of Technology, Varanasi",1
417,Linkers,"Veermata Jijabai Technological Institute, Mumbai",1
418,Ritchie,"JK Institute of Applied Physics and Technology,University of Allahabad",1
419,Decodeez,Maharaja Agrasen Institute of Technology,1
420,UltimateCoders,"Veermata Jijabai Technological Institute, Mumbai",1
421,catalyst,"Rajiv Gandhi College Of Engg And Research, Nagpur",1
422,yeah_u_wish,Indian Institute of Technology Kharagpur,0
422,Conjurors,"Sardar Vallabhbhai National Institute of Technology, Surat",0
422,Raghucoders,Raghu Engineering College,0
422,navdrishti,Jaypee University of Information Technology,0
422,CSECE,Birla Institute of Technology Mesra,0
422,GBPS,"College of Engineering, Guindy",0
422,ACMonster,Birla Institute of Technology Mesra,0
422,Albatross_1,"Birla Institute of Technology, Patna",0
422,Optimal3,"Indian Institute of Technology, Varanasi",0
422,infiniti,"National Institute of Technology, Durgapur",0
422,ManiAC_25,"International Institute of Information Technology, Hyderabad",0
422,codefreek,"International Institute of Information Technology, Hyderabad",0
422,c-maniacs,"College of Engineering, Guindy",0
422,CodeMonkeys,"College of Engineering, Guindy",0
422,sha-bang,"International Institute of Information Technology, Hyderabad",0
422,thetriads,Indian Institute of Technology Bombay,0
422,daynightcoders,"Netaji Subhas Institute of Technology, New Delhi",0
422,codegeeks,"Rajiv Gandhi College Of Engg And Research, Nagpur",0
422,CSEIPS,"Indore Professional Studies Academy, Indore",0
422,Extra Byte,"College of Engineering, Guindy",0
422,Kulprasud,Birla Institute of Technology Mesra,0
422,RJITCoders,Rustamji Institute of Technology,0
422,kiitians,Kalinga Institute of Industrial Technology,0
422,Napster,"Veermata Jijabai Technological Institute, Mumbai",0
422,coderush,Indian Institute of Technology Guwahati,0
